Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE Selected Categories: 'STATISTICS%20%26%20PROBABILITY' Selected Category Scheme: WoS,,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
1,STATISTICAL METHODS IN MEDICAL RESEARCH,"2,703",4.634,0.007400,
2,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,"17,404",4.222,0.019160,
3,ECONOMETRICA,"24,957",4.053,0.046110,
4,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,"1,278",3.698,0.004330,
5,Annual Review of Statistics and Its Application,74,3.045,0.000730,
6,ANNALS OF STATISTICS,"15,680",2.780,0.040950,
7,Journal of Statistical Software,"6,868",2.379,0.031240,
8,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,"2,297",2.237,0.005200,
9,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,"6,431",2.217,0.007080,
10,STATISTICAL SCIENCE,"4,346",2.213,0.010000,
11,PROBABILITY THEORY AND RELATED FIELDS,"2,933",2.204,0.014470,
12,FINANCE AND STOCHASTICS,"1,014",2.169,0.003790,
13,BIOSTATISTICS,"3,136",2.109,0.008420,
14,FUZZY SETS AND SYSTEMS,"13,316",2.098,0.007710,
15,JOURNAL OF CHEMOMETRICS,"3,193",1.873,0.002890,
16,Econometric Reviews,993,1.817,0.003710,
17,INTERNATIONAL STATISTICAL REVIEW,"1,240",1.789,0.002920,
18,STATISTICS AND COMPUTING,"2,682",1.786,0.009340,
19,ANNALS OF APPLIED PROBABILITY,"2,485",1.755,0.011440,
19,JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,"2,860",1.755,0.009150,
21,ANNALS OF PROBABILITY,"4,677",1.734,0.013540,
22,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,"26,402",1.725,0.033420,
23,Advances in Data Analysis and Classification,214,1.707,0.001800,
24,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,"2,360",1.702,0.004570,
25,JOURNAL OF BUSINESS & ECONOMIC STATISTICS,"3,949",1.648,0.011780,
26,IEEE-ACM Transactions on Computational Biology and Bioinformatics,"1,686",1.609,0.005810,
27,Scandinavian Actuarial Journal,445,1.596,0.001280,
28,JOURNAL OF QUALITY TECHNOLOGY,"2,096",1.578,0.002340,
29,MULTIVARIATE BEHAVIORAL RESEARCH,"4,210",1.551,0.008430,
30,JOURNAL OF COMPUTATIONAL BIOLOGY,"2,764",1.537,0.007550,
31,STATISTICS IN MEDICINE,"19,753",1.533,0.033540,
32,TECHNOMETRICS,"6,062",1.435,0.004390,
33,Annals of Applied Statistics,"1,766",1.432,0.014580,
34,Extremes,502,1.400,0.002230,
35,Spatial Statistics,135,1.385,0.001180,
36,INSURANCE MATHEMATICS & ECONOMICS,"2,559",1.378,0.006050,
37,BERNOULLI,"1,565",1.372,0.009550,
38,BIOMETRICS,"17,456",1.360,0.015480,
39,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS,"2,846",1.354,0.004130,
40,OPEN SYSTEMS & INFORMATION DYNAMICS,311,1.306,0.000960,
41,Stata Journal,"2,636",1.292,0.005500,
42,Statistical Applications in Genetics and Molecular Biology,"1,202",1.265,0.002930,
