id	wos_id	accession_no	issn	issn_int	eissn	isbn	eisbn	art_no	doi	title	pubtype	doctype	pubyear	pubmonth	pubday	language	source	page_range	page_count	has_abstract	wos_id	abstract
8450	WOS:000275203800001	564HL	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	grofit: Fitting Biological Growth Curves with R	Journal	Article	2010	2	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-21	21	1	WOS:000275203800001	The grofit package was developed to fit many growth curves obtained under different conditions in order to derive a conclusive dose-response curve, for instance for a compound that potentially affects growth. grofit fits data to different parametric models and in addition provides a model free spline method to circumvent systematic errors that might occur within application of parametric methods. This amendment increases the reliability of the characteristic parameters (e. g., lag phase, maximal growth rate, stationary phase) derived from a single growth curve. By relating obtained parameters to the respective condition (e. g., concentration of a compound) a dose response curve can be derived that enables the calculation of descriptive pharma-/toxicological values like half maximum effective concentration (EC50). Bootstrap and cross-validation techniques are used for estimating confidence intervals of all derived parameters.
48550	WOS:000208590000008	V27BZ	2073-4859	2073485	NULL	NULL	NULL	NULL	NULL	cudaBayesreg: Bayesian Computation in CUDA	Journal	Article	2010	12	1	English	R JOURNAL	48-55	8	1	WOS:000208590000008	Graphical processing units are rapidly gaining maturity as powerful general parallel computing devices. The package cudaBayesreg uses GPU-oriented procedures to improve the performance of Bayesian computations. The paper motivates the need for devising high-performance computing strategies in the context of fMRI data analysis. Some features of the package for Bayesian analysis of brain fMRI data are illustrated. Comparative computing performance figures between sequential and parallel implementations are presented as well.
72081	WOS:000284598500001	685BH	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	DTDA: An R Package to Analyze Randomly Truncated Data	Journal	Article	2010	11	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-20	20	1	WOS:000284598500001	In this paper, the R package DTDA for analyzing truncated data is described. This package contains tools for performing three different but related algorithms to compute the nonparametric maximum likelihood estimator of the survival function in the presence of random truncation. More precisely, the package implements the algorithms proposed by Efron and Petrosian (1999) and Shen (2008), for analyzing randomly one-sided and two-sided (i.e., doubly) truncated data. These algorithms and some recent extensions are briefly reviewed. Two real data sets are used to show how DTDA package works in practice.
81254	WOS:000282853700005	662ZV	1536-867X	1536867	NULL	NULL	NULL	NULL	NULL	simsum: Analyses of simulation studies including Monte Carlo error	Journal	Article	2010	1	1	English	STATA JOURNAL	369-385	17	1	WOS:000282853700005	A new Stata command, simsum, analyzes data from simulation studies. The data may comprise point estimates and standard errors from several analysis methods, possibly resulting from several different simulation settings. simsum can report bias, coverage, power, empirical standard error, relative precision, average model-based standard error, and the relative error of the standard error. Monte Carlo errors are available for all of these estimated quantities.
95617	WOS:000281593400001	647CM	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	tolerance: An R Package for Estimating Tolerance Intervals	Journal	Article	2010	8	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-39	39	1	WOS:000281593400001	The tolerance package for R provides a set of functions for estimating and plotting tolerance limits. This package provides a wide-range of functions for estimating discrete and continuous tolerance intervals as well as for estimating regression tolerance intervals. An additional tool of the tolerance package is the plotting capability for the univariate and regression settings as well as for the multivariate normal setting. The tolerance package's capabilities are illustrated using simulated data sets. Formulas used for the estimation procedures are also presented.
102383	WOS:000284598400001	685BG	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	US Census Spatial and Demographic Data in R: The UScensus2000 Suite of Packages	Journal	Article	2010	11	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-31	31	1	WOS:000284598400001	The US Decennial Census is arguably the most important data set for social science research in the United States. The UScensus2000 suite of packages allows for convenient handling of the 2000 US Census spatial and demographic data. The goal of this article is to showcase the UScensus2000 suite of packages for R, to describe the data contained within these packages, and to demonstrate the helper functions provided for handling this data. The UScensus2000 suite is comprised of spatial and demographic data for the 50 states and Washington DC at four different geographic levels (block, block group, tract, and census designated place). The UScensus2000 suite also contains a number of functions for selecting and aggregating specific geographies or demographic information such as metropolitan statistical areas, counties, etc. These packages rely heavily on the spatial tools developed by Bivand, Pebesma, and Gomez-Rubio (2008), i.e., the sp and maptools packages. This article will provide the necessary background for working with this data set, helper functions, and finish with an applied spatial statistics example.
105054	WOS:000281588400001	647AU	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	plink: An R Package for Linking Mixed-Format Tests Using IRT-Based Methods	Journal	Article	2010	7	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-33	33	1	WOS:000281588400001	The R package plink has been developed to facilitate the linking of mixed-format tests for multiple groups under a common item design using unidimensional and multidimensional IRT-based methods. This paper presents the capabilities of the package in the context of the unidimensional methods. The package supports nine unidimensional item response models (the Rasch model, 1PL, 2PL, 3PL, graded response model, partial credit and generalized partial credit model, nominal response model, and multiple-choice model) and four separate calibration linking methods (mean/sigma, mean/mean, Haebara, and Stocking-Lord). It also includes functions for importing item and/or ability parameters from common IRT software, conducting IRT true-score and observed-score equating, and plotting item response curves and parameter comparison plots.
113374	WOS:000281587700001	647AN	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	Controlled Optimal Design Program for the Logit Dose Response Mode	Journal	Article	2010	7	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-17	17	1	WOS:000281587700001	The assessment of dose-response is an integral component of the drug development process. Parallel dose-response studies are conducted, customarily ,in preclinical and phase 1,2 clinical trials for this purpose. Practical constraints on dose range, dose levels and dose proportions are intrinsic issues in the design of dose response studies because of drug toxicity, efficacy, FDA regulations, protocol requirements, clinical trial logistics, and marketing issues.We provide a free on-line software package called Controlled Optimal Design 2.0 for generating controlled optimal designs that can incorporate prior information and multiple objectives, and meet multiple practical constraints at the same time. Researchers can either run the web-based design program or download its stand-alone version to construct the desired multiple-objective controlled Bayesian optimal designs. Because researchers often adopt ad-hoc design schemes such as the equal allocation rules with out knowing how efficient such designs would be for the design problem, the program also evaluates the efficiency of user-supplied design
155093	WOS:000208589900006	V27BY	2073-4859	2073485	NULL	NULL	NULL	NULL	NULL	neuralnet: Training of Neural Networks	Journal	Article	2010	6	1	English	R JOURNAL	30-38	9	1	WOS:000208589900006	Artificial neural networks are applied in many situations. neuralnet is built to train multi-layer perceptrons in the context of regression analyses, i.e. to approximate functional relationships between covariates and response variables. Thus, neural networks are used as extensions of generalized linear models. neuralnet is a very flexible package. The backpropagation algorithm and three versions of resilient backpropagation are implemented and it provides a custom-choice of activation and error function. An arbitrary number of covariates and response variables as well as of hidden layers can theoretically be included. The paper gives a brief introduction to multilayer perceptrons and resilient backpropagation and demonstrates the application of neuralnet using the data set infert, which is contained in the R distribution.
178761	WOS:000275203900001	564HM	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	Simple Algorithms to Calculate Asymptotic Null Distributions of Robust Tests in Case-Control Genetic Association Studies in R	Journal	Article	2010	2	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-24	24	1	WOS:000275203900001	The case-control study is an important design for testing association between genetic markers and a disease. The Cochran-Armitage trend test (CATT) is one of the most commonly used statistics for the analysis of case-control genetic association studies. The asymptotically optimal CATT can be used when the underlying genetic model (mode of inheritance) is known. However, for most complex diseases, the underlying genetic models are unknown. Thus, tests robust to genetic model misspecification are preferable to the model-dependant CATT. Two robust tests, MAX3 and the genetic model selection (GMS), were recently proposed. Their asymptotic null distributions are often obtained by Monte-Carlo simulations, because they either have not been fully studied or involve multiple integrations. In this article, we study how components of each robust statistic are correlated, and find a linear dependence among the components. Using this new finding, we propose simple algorithms to calculate asymptotic null distributions for MAX3 and GMS, which greatly reduce the computing intensity. Furthermore, we have developed the R package Rassoc implementing the proposed algorithms to calculate the empirical and asymptotic p values for MAX3 and GMS as well as other commonly used tests in case-control association studies. For illustration, Rassoc is applied to the analysis of case-control data of 17 most significant SNPs reported in four genome-wide association studies.
