$ python3 main.py 
Loading W2V
Loading DF
Generating training and testing sets
Generating word vectors
Training: 434 postive, 892 negative, 0.327 percent
Testing: 57 postive, 90 negative, 0.388 percent
Epoch 0, loss 0.648, error 0.388, detectionRate 0.000, falseP 0.000
Epoch 1, loss 0.500, error 0.218, detectionRate 0.509, falseP 0.044
Epoch 2, loss 0.439, error 0.177, detectionRate 0.561, falseP 0.011
Epoch 3, loss 0.332, error 0.143, detectionRate 0.649, falseP 0.011
Epoch 4, loss 0.424, error 0.197, detectionRate 0.719, falseP 0.144
Epoch 5, loss 0.413, error 0.136, detectionRate 0.667, falseP 0.011
Epoch 6, loss 0.482, error 0.163, detectionRate 0.895, falseP 0.200
Epoch 7, loss 0.302, error 0.129, detectionRate 0.719, falseP 0.033
Epoch 8, loss 0.275, error 0.102, detectionRate 0.772, falseP 0.022
Epoch 9, loss 0.245, error 0.075, detectionRate 0.860, falseP 0.033
Epoch 10, loss 0.292, error 0.109, detectionRate 0.842, falseP 0.078
Epoch 11, loss 0.260, error 0.102, detectionRate 0.825, falseP 0.056
Epoch 12, loss 0.305, error 0.109, detectionRate 0.807, falseP 0.056
Epoch 13, loss 0.199, error 0.075, detectionRate 0.842, falseP 0.022
Epoch 14, loss 0.227, error 0.088, detectionRate 0.860, falseP 0.056
Epoch 15, loss 0.241, error 0.082, detectionRate 0.825, falseP 0.022
Epoch 16, loss 0.291, error 0.088, detectionRate 0.842, falseP 0.044
Epoch 17, loss 0.322, error 0.082, detectionRate 0.842, falseP 0.033
Epoch 18, loss 0.228, error 0.082, detectionRate 0.860, falseP 0.044
Epoch 19, loss 0.330, error 0.082, detectionRate 0.807, falseP 0.011
Epoch 20, loss 0.325, error 0.082, detectionRate 0.842, falseP 0.033
Epoch 21, loss 0.309, error 0.088, detectionRate 0.825, falseP 0.033
Epoch 22, loss 0.308, error 0.088, detectionRate 0.895, falseP 0.078
Epoch 23, loss 0.427, error 0.102, detectionRate 0.789, falseP 0.033
Epoch 24, loss 0.237, error 0.054, detectionRate 0.877, falseP 0.011
Epoch 25, loss 0.267, error 0.061, detectionRate 0.860, falseP 0.011
Epoch 26, loss 0.152, error 0.061, detectionRate 0.842, falseP 0.000
Epoch 27, loss 0.260, error 0.088, detectionRate 0.825, falseP 0.033
Epoch 28, loss 0.427, error 0.068, detectionRate 0.825, falseP 0.000
Epoch 29, loss 0.576, error 0.082, detectionRate 0.789, falseP 0.000
Epoch 30, loss 0.402, error 0.068, detectionRate 0.825, falseP 0.000
Epoch 31, loss 0.335, error 0.082, detectionRate 0.807, falseP 0.011
Epoch 32, loss 0.393, error 0.095, detectionRate 0.807, falseP 0.033
Epoch 33, loss 0.409, error 0.082, detectionRate 0.842, falseP 0.033
Epoch 34, loss 0.478, error 0.102, detectionRate 0.789, falseP 0.033
Epoch 35, loss 0.375, error 0.102, detectionRate 0.825, falseP 0.056
Epoch 36, loss 0.464, error 0.095, detectionRate 0.825, falseP 0.044
Epoch 37, loss 0.498, error 0.088, detectionRate 0.825, falseP 0.033
Epoch 38, loss 0.522, error 0.088, detectionRate 0.825, falseP 0.033
Epoch 39, loss 0.384, error 0.088, detectionRate 0.825, falseP 0.033
Epoch 40, loss 0.446, error 0.082, detectionRate 0.807, falseP 0.011
Epoch 41, loss 0.377, error 0.102, detectionRate 0.842, falseP 0.067
Epoch 42, loss 0.415, error 0.088, detectionRate 0.825, falseP 0.033
Epoch 43, loss 0.521, error 0.095, detectionRate 0.772, falseP 0.011
Epoch 44, loss 0.540, error 0.088, detectionRate 0.825, falseP 0.033
Epoch 45, loss 0.500, error 0.095, detectionRate 0.825, falseP 0.044
Epoch 46, loss 0.664, error 0.095, detectionRate 0.825, falseP 0.044
Epoch 47, loss 0.470, error 0.095, detectionRate 0.825, falseP 0.044
Epoch 48, loss 0.630, error 0.075, detectionRate 0.842, falseP 0.022
Epoch 49, loss 0.567, error 0.095, detectionRate 0.842, falseP 0.056
Saving
Done
