,abstract,id,journal,keywords,title,year
0,"We consider discrete-time observations of a continuous martingale under measurement error. This serves as a fundamental model for high-frequency data in finance, where an efficient price process is observed under microstructure noise. It is shown that this nonparametric model is in Le Cam's sense asymptotically equivalent to a Gaussian shift experiment in terms of the square root of the volatility function a and a nonstandard noise level. As an application, new rate-optimal estimators of the volatility function and simple efficient estimators of the integrated volatility are constructed.",WOS:000291183300004,ANNALS OF STATISTICS,"['NONPARAMETRIC REGRESSION', 'MICROSTRUCTURE NOISE', 'EFFICIENT ESTIMATION', 'WHITE-NOISE']",ASYMPTOTIC EQUIVALENCE FOR INFERENCE ON THE VOLATILITY FROM NOISY OBSERVATIONS,2011
1,"Many statistical analyses (e. g., in econometrics, biostatistics and experimental design) are based on models containing systems of structurally related equations. The systemfit package provides the capability to estimate systems of linear equations within the R programming environment. For instance, this package can be used for ""ordinary least squares"" (OLS), ""seemingly unrelated regression"" (SUR), and the instrumental variable (IV) methods ""two-stage least squares"" (2SLS) and ""three-stage least squares"" (3SLS), where SUR and 3SLS estimations can optionally be iterated. Furthermore, the systemfit package provides tools for several statistical tests. It has been tested on a variety of datasets and its reliability is demonstrated.",WOS:000252431400001,JOURNAL OF STATISTICAL SOFTWARE,"['3-STAGE LEAST-SQUARES', 'REGRESSION EQUATIONS', 'TESTS']",systemfit: A package for estimating systems of simultaneous equations in R,2007
2,"It has been recently shown that, under the margin (or low noise) assumption, there exist classifiers attaining fast rates of convergence of the excess Bayes risk, that is, rates faster than n(-1/2). The work on this subject has suggested the following two conjectures: (i) the best achievable fast rate is of the order n(-1), and (ii) the plug-in classifiers generally converge more slowly than the classifiers based on empirical risk minimization. We show that both conjectures are not correct. In particular, we construct plug-in classifiers that can achieve not only fast, but also super-fast rates, that is, rates faster than n-1. We establish minimax lower bounds showing that the obtained rates cannot be improved.",WOS:000248987600006,ANNALS OF STATISTICS,"['RISK BOUNDS', 'CONVERGENCE', 'CLASSIFICATION']",Fast learning rates for plug-in classifiers,2007
3,"Reference analysis produces objective Bayesian inference, in the sense that inferential statements depend only on the assumed model and the available data, and the prior distribution used to make an inference is least informative in a certain information-theoretic sense. Reference priors have been rigorously defined in specific contexts and heuristically defined in general, but a rigorous general definition has been lacking. We produce a rigorous general definition here and then show how an explicit expression for the reference prior can be obtained under very weak regularity conditions. The explicit expression can be used to derive new reference priors both analytically and numerically.",WOS:000265500500013,ANNALS OF STATISTICS,"['POSTERIOR DISTRIBUTIONS', 'MATHEMATICAL-THEORY', 'BAYESIAN-ANALYSIS', 'PROBABILITY', 'INFORMATION', 'INFERENCE', 'COMMUNICATION', 'CONVERGENCE', 'ENTROPY']",THE FORMAL DEFINITION OF REFERENCE PRIORS,2009
4,"We introduce the C++ application and R package ranger. The software is a fast implementation of random forests for high dimensional data. Ensembles of classification, regression and survival trees are supported. We describe the implementation, provide examples, validate the package with a reference implementation, and compare runtime and memory usage with other implementations. The new software proves to scale best with the number of features, samples, trees, and features tried for splitting. Finally, we show that ranger is the fastest and most memory efficient implementation of random forests to analyze data on the scale of a genome-wide association study.",WOS:000399022900001,JOURNAL OF STATISTICAL SOFTWARE,"['MACHINE LEARNING-METHODS', 'PROBABILITY ESTIMATION', 'ASSOCIATION']",ranger: A Fast Implementation of Random Forests for High Dimensional Data in C plus plus and R,2017
5,"We introduce a pathwise algorithm for the Cox proportional hazards model, regularized by convex combinations of l(1) and l(2) penalties (elastic net). Our algorithm fits via cyclical coordinate descent, and employs warm starts to find a solution along a regularization path. We demonstrate the efficacy of our algorithm on real and simulated data sets, and find considerable speedup between our algorithm and competing methods.",WOS:000288204000001,JOURNAL OF STATISTICAL SOFTWARE,"['GENERALIZED LINEAR-MODELS', 'GENE-EXPRESSION DATA', 'VARIABLE SELECTION', 'REGRESSION', 'LASSO']",Regularization Paths for Cox's Proportional Hazards Model via Coordinate Descent,2011
6,"Semisupervised methods are techniques for using labeled data (X-1, Y-1), ..., (X-n, Y-n) together with unlabeled data Xn+1, ..., X-N to make predictions. These methods invoke some assumptions that link the marginal distribution P-X of X to the regression function f(x). For example, it is common to assume that f is very smooth over high density regions of P-X. Many of the methods are ad-hoc and have been shown to work in specific examples but are lacking a theoretical foundation. We provide a minimax framework for analyzing semisupervised methods. In particular, we study methods based on metrics that are sensitive to the distribution P-X. Our model includes a parameter alpha that controls the strength of the semisupervised assumption. We then use the data to adapt to alpha.",WOS:000320488200013,ANNALS OF STATISTICS,['SAMPLES'],DENSITY-SENSITIVE SEMISUPERVISED INFERENCE,2013
7,"This paper describes the core features of the R package geepack, which implements the generalized estimating equations (GEE) approach for fitting marginal generalized linear models to clustered data. Clustered data arise in many applications such as longitudinal data and repeated measures. The GEE approach focuses on models for the mean of the correlated observations within clusters without fully specifying the joint distribution of the observations. It has been widely used in statistical practice. This paper illustrates the application of the GEE approach with geepack through an example of clustered binary data.",WOS:000235180600001,JOURNAL OF STATISTICAL SOFTWARE,"['LINEAR-MODELS', 'REGRESSION-MODELS', 'INFERENCE']",The R Package geepack for Generalized Estimating Equations,2006
8,"Matrix completion and quantum tomography are two unrelated research areas with great current interest in many modern scientific studies. This paper investigates the statistical relationship between trace regression in matrix completion and quantum state tomography in quantum physics and quantum information science. As quantum state tomography and trace regression share the common goal of recovering an unknown matrix, it is nature to put them in the Le Cam paradigm for statistical comparison. Regarding the two types of matrix inference problems as two statistical experiments, we establish their asymptotic equivalence in terms of deficiency distance. The equivalence study motivates us to introduce a new trace regression model. The asymptotic equivalence provides a sound statistical foundation for applying matrix completion methods to quantum state tomography. We investigate the asymptotic equivalence for sparse density matrices and low rank density matrices and demonstrate that sparsity and low rank are not necessarily helpful for achieving the asymptotic equivalence of quantum state tomography and trace regression. In particular, we show that popular Pauli measurements are bad for establishing the asymptotic equivalence for sparse density matrices and low rank density matrices.",WOS:000327746100007,ANNALS OF STATISTICS,"['LOW-RANK MATRICES', 'HIGH-DIMENSIONAL MATRICES', 'PENALIZATION', 'ESTIMATORS']",ASYMPTOTIC EQUIVALENCE OF QUANTUM STATE TOMOGRAPHY AND NOISY MATRIX COMPLETION,2013
9,"In a multiple testing problem where one is willing to tolerate a few false rejections, procedure controlling the familywise error rate (FWER) can potentially be improved in terms of its ability to detect false null hypotheses by generalizing it to control the k-FWER, the probability of falsely rejecting at least k null hypotheses, for some fixed k > 1. Simes' test for testing the intersection null hypothesis is generalized to control the k-FWER weakly, that is, under the intersection null hypothesis, and Hochberg's stepup procedure for simultaneous testing of the individual null hypotheses is generalized to control the k-FWER strongly, that is, under any configuration of the true and false null hypotheses. The proposed generalizations are developed utilizing joint null distributions of the k-dimensional subsets of the p-values, assumed to be identical. The generalized Simes' test is proved to control the k-FWER weakly under the multivariate totally positive of order two (MTP2) condition V. Multivariate Analysis 10 (1980) 467-498] of the joint null distribution of the P-values by generalizing the original Simes' inequality. It is more powerful to detect k or more false null hypotheses than the original Simes' test when the p-values are independent. A stepdown procedure strongly controlling the k-FWER, a version of generalized Holm's procedure that is different from and more powerful than [Ann. Statist. 33 (2005) 1138-1154] with independent p-values, is derived before proposing the generalized Hochberg's procedure. The strong control of the k-FWER for the generalized Hochberg's procedure is established in situations where the generalized Simes' test is known to control its k-FWER weakly.",WOS:000253390000013,ANNALS OF STATISTICS,"['FAMILYWISE ERROR RATE', 'FALSE DISCOVERY RATE', 'BONFERRONI PROCEDURE', 'RANDOM-VARIABLES', 'MULTIPLE TESTS', 'INEQUALITIES']",Generalizing Simes' test and Hochberg's stepup procedure,2008
